Rk;Player;Pos;Age;Altezza;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;AG;PTS
198;Aaron Gordon;AG;26;6.8;DEN;75;75;31.7;5.8;11.1;0.52;1.2;3.5;0.335;4.6;7.7;0.605;0.573;2.3;3.1;0.743;1.7;4.2;5.9;2.5;0.6;0.6;1.8;2;15
233;Aaron Henry;AP;22;6.5;PHI;6;0;2.8;0.2;0.8;0.2;0;0.2;0;0.2;0.7;0.25;0.2;0;0;0;0;0.2;0.2;0;0;0.3;0.3;0.3;0.3
244;Aaron Holiday;P;25;6.0;TOT;63;15;16.2;2.4;5.4;0.447;0.6;1.6;0.379;1.8;3.7;0.477;0.504;0.9;1.1;0.868;0.4;1.6;1.9;2.4;0.7;0.1;1.1;1.5;6.3
406;Aaron Nesmith;AP;22;6.5;BOS;52;3;11;1.4;3.5;0.396;0.6;2.2;0.27;0.8;1.3;0.612;0.481;0.4;0.5;0.808;0.3;1.4;1.7;0.4;0.4;0.1;0.6;1.3;3.8
581;Aaron Wiggins;G;23;6.4;OKC;50;35;24.2;3.1;6.7;0.463;0.8;2.8;0.304;2.3;4;0.573;0.525;1.2;1.7;0.729;1;2.5;3.6;1.4;0.6;0.2;1.1;1.9;8.3
403;Abdel Nader;AP;28;6.5;PHO;14;0;10.4;0.9;2.5;0.343;0.3;1;0.286;0.6;1.5;0.381;0.4;0.4;0.7;0.6;0.3;1.6;1.9;0.5;0.6;0.3;0.8;1.4;2.4
398;Ade Murkey;G;24;6.5;SAC;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
492;Admiral Schofield;AP;24;6.5;ORL;38;1;12.3;1.4;3.4;0.419;0.7;2.1;0.329;0.7;1.3;0.56;0.519;0.3;0.4;0.8;0.4;1.9;2.3;0.7;0.1;0.1;0.6;1.5;3.8
99;Ahmad Caver;P;25;6.2;IND;1;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;2
250;Al Horford;C;35;6.9;BOS;69;69;29.1;3.9;8.2;0.467;1.3;3.8;0.336;2.6;4.4;0.582;0.546;1.2;1.4;0.842;1.6;6.1;7.7;3.4;0.7;1.3;0.9;1.9;10.2
