PLAYER;TEAM;AGE;HEIGHT;WEIGHT;COLLEGE;COUNTRY;DRAFT YEAR;DRAFT ROUND;DRAFT NUMBER;GP;PTS;REB;AST;NETRTG;OREB%;DREB%;USG%;TS%;AST%
Facundo Campazzo;DEN;31;5.94;195;None;Argentina;Undrafted;Undrafted;Undrafted;65.0;5.1;1.8;3.4;-8.6;1.9;8.0;14.3;50.3;27.6
Jared Harper;NOP;24;5.94;175;Auburn;USA;Undrafted;Undrafted;Undrafted;5.0;7.4;0.4;2.8;9.8;4.7;0.0;28.7;66.6;53.8
Markus Howard;DEN;23;5.94;175;Marquette;USA;Undrafted;Undrafted;Undrafted;31.0;4.1;0.4;0.2;-4.9;1.0;6.4;26.4;56.7;6.8
Tremont Waters;WAS;24;5.94;175;Louisiana State;USA;2019;2;51;3.0;3.3;1.3;2.3;-17.1;0.0;7.7;15.0;35.7;17.9
Carsen Edwards;DET;24;5.98;200;Purdue;USA;2019;2;33;4.0;5.8;1.5;3.5;-5.9;2.2;4.4;17.9;37.8;25.0
Chris Chiozza;GSW;26;5.98;175;Florida;USA;Undrafted;Undrafted;Undrafted;34.0;2.0;1.1;1.9;-7.9;2.3;7.3;13.2;40.7;26.4
D.J. Augustin;LAL;34;5.98;183;University of Texas at Austin;USA;2008;1;9;55.0;5.3;1.2;1.9;-10.6;1.2;6.5;13.9;61.0;17.6
Jordan McLaughlin;MIN;26;5.98;185;Southern California;USA;Undrafted;Undrafted;Undrafted;62.0;3.8;1.5;2.9;2.4;2.3;7.5;11.5;53.5;25.8
Keifer Sykes;IND;28;5.98;167;Green Bay;USA;Undrafted;Undrafted;Undrafted;32.0;5.6;1.4;1.9;-4.5;1.4;6.9;17.4;45.6;16.2
McKinley Wright IV;MIN;23;5.98;192;Colorado;USA;Undrafted;Undrafted;Undrafted;5.0;1.0;0.0;0.6;-25.8;0.0;0.0;8.2;83.3;23.1
Isaiah Thomas;CHA;33;5.9;185;Washington;USA;2011;2;60;22.0;8.4;1.3;1.5;-1.3;1.2;7.1;24.5;51.6;15.5
Aaron Holiday;PHX;25;6.0;185;UCLA;USA;2018;1;23;63.0;6.3;1.9;2.4;-1.4;2.3;9.2;18.2;54.4;22.3
Brandon Goodwin;CLE;26;6.0;180;Florida Gulf Coast;USA;Undrafted;Undrafted;Undrafted;36.0;4.8;1.9;2.5;-6.3;2.8;11.0;17.7;50.1;27.8
Carlik Jones;DEN;24;6.0;174;Louisville;USA;Undrafted;Undrafted;Undrafted;5.0;0.8;0.6;1.0;-33.1;4.2;6.9;22.0;20.2;41.7
Chris Paul;PHX;37;6.0;175;Wake Forest;USA;2005;1;4;65.0;14.7;4.4;10.8;10.0;1.1;11.3;19.7;58.1;43.4
Darren Collison;LAL;34;6.0;160;UCLA;USA;2009;1;21;3.0;1.3;1.3;0.7;-18.4;0.0;9.1;7.7;28.6;6.3
Davion Mitchell;SAC;23;6.0;202;Baylor;USA;2021;1;9;75.0;11.5;2.2;4.2;-6.0;1.5;6.2;20.2;48.9;23.5
Derrick Walton Jr.;DET;27;6.0;185;Michigan;USA;Undrafted;Undrafted;Undrafted;3.0;6.3;3.3;7.0;0.5;1.5;6.8;14.2;34.2;26.9
