indice;Nome;Posizioni;Eta;Altezza;Squadra;Partite.Giocate;Win
68;Damon Stoudamire;P;28;5.94;POR;75;45
225;Brevin Knight;P;26;5.94;MEM;53;15
77;Chucky Atkins;P;27;5.98;DET;79;49
159;Travis Best;P;29;5.98;CHI;78;41
171;Avery Johnson;P;37;5.98;DAL;68;27
189;Speedy Claxton;P;24;5.98;PHI;67;36
216;Terrell Brandon;P;32;5.98;MIN;32;20
295;Dana Barros;P;35;5.98;DET;29;14
383;Dean Oliver;P;23;5.98;GSW;20;4
438;Darrick Martin;P;31;5.98;DAL;3;1
256;Earl Boykins;P;26;5.98;LAC;68;32
5;Allen Iverson;P;27;6.0;PHI;60;36
102;Chris Whitney;P;30;6.0;WAS;82;37
141;Tim Hardaway;P;35;6.0;DEN;68;41
165;Tyronn Lue;P;25;6.0;WAS;71;33
325;Mookie Blaylock;P;35;6.0;GSW;41;24
327;Eddie Gill;P;23;6.0;MEM;23;6
351;Joe Crispin;P;22;6.0;PHX;21;11
419;Elliot Perry;P;33;6.0;MEM;2;0
38;Nick Van Exel;G;30;6.1;DAL;54;42
58;John Stockton;P;40;6.1;UTA;82;44
60;Mike Bibby;P;24;6.1;SAC;80;59
69;Darrell Armstrong;P;34;6.1;ORL;82;44
73;Jason Williams;P;26;6.1;MEM;82;29
79;David Wesley;G;31;6.1;CHH;78;55
81;Troy Hudson;P;26;6.1;ORL;81;43
87;Bobby Jackson;P;29;6.1;SAC;81;61
19;Derek Fisher;P;27;6.1;LAL;70;47
126;Kenny Anderson;P;31;6.1;BOS;76;44
139;Moochie Norris;P;28;6.1;HOU;82;28
170;Jacque Vaughn;P;27;6.1;ATL;82;33
175;Eddie House;P;24;6.1;MIA;64;23
192;Greg Anthony;P;34;6.1;MIL;60;16
242;Will Solomon;G;23;6.1;MEM;62;15
255;John Crotty;P;32;6.1;UTA;41;23
268;A.J. Guyton;G;24;6.1;CHI;45;10
271;Earl Watson;P;23;6.1;SEA;64;34
279;Shammond Williams;P;27;6.1;SEA;50;26
299;Kenny Satterfield;P;21;6.1;DEN;36;11
367;Erick Barkley;P;24;6.1;POR;14;6
394;Brent Price;P;33;6.1;SAC;20;15
426;Dee Brown;P;33;6.1;ORL;7;5
38;Chris Webber;AG;29;6.94;SAC;72;33
45;Keith Van Horn;AG;26;6.94;NJN;81;51
46;Rashard Lewis;AG;22;6.94;SEA;71;40
49;Alonzo Mourning;C;32;6.94;MIA;75;34
52;Clifford Robinson;AG;35;6.94;DET;80;49
95;Derrick Coleman;AG;35;6.94;PHI;58;29
96;Tim Thomas;AP;25;6.94;MIL;74;38
106;Nazr Mohammed;C;24;6.94;ATL;82;33
115;Joe Smith;AG;26;6.94;MIN;67;35
143;Eddie Griffin;AG;20;6.94;HOU;73;23
